"","x"
"mean","r+u"
"u_estim","FALSE"
"risk_premium","NGARCH"
"vol_init_method","fixed"
"init_par","1"
"loglik","1737.51"
"AIC","-3453.02"
"BIC","-3408.242"
"par","11"
"u1","0"
"u2","0"
"a01","-2.38374923886787"
"a02","-1.92870814841127"
"a11","-0.161714195801684"
"a12","-0.149222465049856"
"b1","0.628357069002645"
"b2","0.697150588092472"
"g11","0.38711052696084"
"g12","0.324864195111458"
"lambda1","0.0844278427066359"
"lambda2","0.12604932023836"
"rho","0.75281141390377"
"vol_init1","0.1469"
"vol_init2","0.1498"
"vol_final1","0.1188"
"vol_final2","0.168"
"h_final1","0.00117695287363966"
"h_final2","0.00235139390426902"
"n","433"
"time","12.68"
"conv","0"
